Id,SalePrice
1461,117081
1462,191016
1463,178328
1464,187045
1465,155249
1466,166739
1467,168242
1468,151233
1469,165320
1470,107030
1471,176283
1472,110138
1473,106895
1474,156212
1475,93385.4
1476,255541
1477,193043
1478,223684
1479,212210
1480,344773
1481,254893
1482,169470
1483,148249
1484,134244
1485,163235
1486,179544
1487,260178
1488,199774
1489,145694
1490,197038
1491,178218
1492,85219.9
1493,190490
1494,265145
1495,253509
1496,190701
1497,162670
1498,140500
1499,141380
1500,141901
1501,185640
1502,130658
1503,216620
1504,208562
1505,186653
1506,183692
1507,249509
1508,208151
1509,153079
1510,132764
1511,136752
1512,177599
1513,149433
1514,162741
1515,220476
1516,170356
1517,167680
1518,126045
1519,203568
1520,119793
1521,122431
1522,177833
1523,96421.3
1524,108691
1525,107365
1526,102898
1527,94158.4
1528,144419
1529,127250
1530,197154
1531,148412
1532,93484.1
1533,149424
1534,117434
1535,164671
1536,107780
1537,54346.5
1538,168833
1539,205350
1540,125126
1541,148716
1542,147551
1543,193338
1544,72536.9
1545,118132
1546,130251
1547,146048
1548,135507
1549,117652
1550,137525
1551,118664
1552,156052
1553,146955
1554,125077
1555,167922
1556,84913.8
1557,110329
1558,87038.3
1559,88754.8
1560,151037
1561,124704
1562,110766
1563,100492
1564,160826
1565,150662
1566,215488
1567,60799.7
1568,221549
1569,148127
1570,123581
1571,104544
1572,137509
1573,207464
1574,108766
1575,204589
1576,238928
1577,148372
1578,145038
1579,125815
1580,183574
1581,135351
1582,105544
1583,262662
1584,208742
1585,123894
1586,48602.3
1587,82814.9
1588,138579
1589,101638
1590,123708
1591,62522.1
1592,120566
1593,110110
1594,156361
1595,102379
1596,218198
1597,191245
1598,182229
1599,154799
1600,146772
1601,41182.3
1602,114403
1603,76631.8
1604,220618
1605,223259
1606,170193
1607,175078
1608,172486
1609,145539
1610,137359
1611,130805
1612,145863
1613,152185
1614,124336
1615,86660.5
1616,64065.4
1617,92751.2
1618,103508
1619,127720
1620,187334
1621,133466
1622,141330
1623,232257
1624,201625
1625,105930
1626,176391
1627,184524
1628,252031
1629,166532
1630,277675
1631,171724
1632,193585
1633,155653
1634,173483
1635,168109
1636,132124
1637,202175
1638,203539
1639,178836
1640,255681
1641,177584
1642,201122
1643,193983
1644,202390
1645,219204
1646,156501
1647,150153
1648,111659
1649,122107
1650,106390
1651,106049
1652,110222
1653,114300
1654,153056
1655,138769
1656,145918
1657,158263
1658,146722
1659,113248
1660,148442
1661,339816
1662,290365
1663,268417
1664,349737
1665,221473
1666,256036
1667,282039
1668,243312
1669,220518
1670,249654
1671,227240
1672,321024
1673,253563
1674,203357
1675,173135
1676,172187
1677,186007
1678,336284
1679,279483
1680,234674
1681,191873
1682,238148
1683,160673
1684,165114
1685,155764
1686,142147
1687,149666
1688,177645
1689,175114
1690,177898
1691,165712
1692,226054
1693,150105
1694,169256
1695,149799
1696,254884
1697,155456
1698,298770
1699,263151
1700,233289
